average,q1,q3,Diet,Time
0.0,0.0,0.0,1,0
5.85,4.75,8.0,1,2
14.947368421052632,12.0,18.0,1,4
25.263157894736842,20.0,30.0,1,6
38.1578947368421,29.0,43.5,1,8
51.526315789473685,36.0,64.0,1,10
67.0,43.5,91.0,1,12
81.83333333333333,51.25,104.75,1,14
103.05882352941177,63.0,122.0,1,16
117.3529411764706,77.0,144.0,1,18
128.8235294117647,83.0,157.0,1,20
136.1875,95.75,166.75,1,21
0.0,0.0,0.0,2,0
8.7,7.0,9.75,2,2
19.1,17.25,21.5,2,4
34.7,32.0,35.75,2,6
51.0,47.25,52.5,2,8
67.8,57.0,74.25,2,10
90.6,73.75,103.25,2,12
101.2,81.0,115.5,2,14
124.0,101.25,147.25,2,16
147.0,111.75,185.25,2,18
164.9,124.0,212.75,2,20
174.0,127.5,221.0,2,21
0.0,0.0,0.0,3,0
9.6,8.0,11.0,3,2
21.4,20.0,23.75,3,4
37.1,33.75,40.25,3,6
57.6,49.5,64.5,3,8
76.3,67.25,85.75,3,10
103.6,87.25,116.75,3,12
123.7,104.25,140.25,3,14
156.6,128.0,178.5,3,16
192.3,164.5,221.75,3,18
218.1,187.75,253.0,3,20
229.5,189.25,276.0,3,21
0.0,0.0,0.0,4,0
10.8,9.0,12.75,4,2
23.5,22.25,24.75,4,4
42.9,41.25,43.75,4,6
64.6,61.0,64.75,4,8
85.0,80.25,85.5,4,10
110.4,104.75,114.75,4,12
120.8,112.25,131.75,4,14
141.0,128.5,160.25,4,16
161.9,142.5,186.5,4,18
193.0,157.0,223.0,4,20
197.66666666666666,162.0,223.0,4,21
